1	abraham	add_place	right
1103	abraham	norm	·
1104	abraham	norm	ⲛⲁⲓ
1105	abraham	norm	ⲛⲧ
1106	abraham	norm	ⲁ
1107	abraham	norm	ⲩ
1108	abraham	norm	ϣⲱⲡⲉ
1109	abraham	norm	ⲛ
1110	abraham	norm	ϩⲙϩⲁⲗ
1111	abraham	norm	ⲙ
1112	abraham	norm	ⲡ
1113	abraham	norm	ϫⲟⲉⲓⲥ
1114	abraham	norm	ⲡⲉϥ
1115	abraham	norm	ⲭⲣⲓⲥⲧⲟⲥ
1116	abraham	norm	ⲓⲏⲥⲟⲩⲥ
1117	abraham	norm	ⲛ
1118	abraham	norm	ⲕⲁⲧⲁ
1119	abraham	norm	ⲛⲉ
1120	abraham	norm	ⲅⲣⲁⲫⲏ
1121	abraham	norm	ϫⲉ
1122	abraham	norm	ⲁ
1123	abraham	norm	ⲓ
1124	abraham	norm	ⲧⲛⲛⲟ
1125	abraham	norm	ⲟⲩ
1126	abraham	norm	ϣⲁⲣⲱ
1127	abraham	norm	ⲧⲛ
1128	abraham	norm	ⲛ
1129	abraham	norm	ⲛ
1130	abraham	norm	ⲁ
1131	abraham	norm	ϩⲙϩⲁⲗ
1132	abraham	norm	ⲛⲉ
1133	abraham	norm	ⲡⲣⲟⲫⲏⲧⲏⲥ
1134	abraham	norm	ⲙ
1135	abraham	norm	ⲡ
1136	abraham	norm	ϫⲡⲉ
1137	abraham	norm	ϩⲟⲟⲩ
1138	abraham	norm	ⲙ
1139	abraham	norm	ⲡ
1140	abraham	norm	ⲛⲁⲩ
1141	abraham	norm	ⲛ
1142	abraham	norm	ϣⲱⲣⲡ
1143	abraham	norm	ⲁⲩⲱ
1144	abraham	norm	ⲁ
1145	abraham	norm	ⲓ
1146	abraham	norm	ⲧⲛⲛⲟⲟⲩ
1147	abraham	norm	ⲟⲟⲩ
1148	abraham	norm	·
1149	abraham	norm	ⲁⲩⲱ
1150	abraham	norm	ⲙ
1151	abraham	norm	ⲡⲉ
1152	abraham	norm	ⲧⲛ
1153	abraham	norm	ⲥⲱⲧⲙ
1154	abraham	norm	:
1155	abraham	norm	ⲛⲧ
1156	abraham	norm	ⲁ
1157	abraham	norm	ⲛⲉ
1158	abraham	norm	ⲡⲣⲟⲫⲏⲧⲏⲥ
1159	abraham	norm	ⲙⲛ
1160	abraham	norm	ⲛ
1161	abraham	norm	ⲁⲡⲟⲥⲧⲟⲗⲟⲥ
1162	abraham	norm	ⲣ
1163	abraham	norm	ϩⲙ
1164	abraham	norm	ϩⲁⲗ
1165	abraham	norm	ⲙ
1166	abraham	norm	ⲡ
1167	abraham	norm	ϫⲟⲉⲓⲥ
1168	abraham	norm	ⲏ
1169	abraham	norm	ⲡⲉϥ
1170	abraham	norm	ⲭⲣⲓⲥⲧⲟⲥ
1171	abraham	norm	ϩⲛ
1172	abraham	norm	ⲟⲩ
1173	abraham	norm	ⲭⲉⲓⲙⲏⲧⲓ
1174	abraham	norm	ⲉ
1175	abraham	norm	ⲧⲣⲉ
