0	NULL	annotation	Caroline Schroeder, Amir Zeldes
80	NULL	version_n	1.0.1
81	NULL	book	Acts of the Apostles
81	NULL	chapter	15
81	NULL	cid	44N 15
81	NULL	cname	Acts of the Apostles 15
81	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:15
81	NULL	metadata	Caroline T. Schroeder
81	NULL	version_date	16 April 2015
81	NULL	version_n	1.0.1
82	NULL	book	Acts of the Apostles
82	NULL	chapter	16
82	NULL	cid	44N 16
82	NULL	cname	Acts of the Apostles 16
82	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:16
82	NULL	metadata	Caroline T. Schroeder
82	NULL	version_date	16 April 2015
82	NULL	version_n	1.0.1
83	NULL	book	Acts of the Apostles
83	NULL	chapter	17
83	NULL	cid	44N 17
83	NULL	cname	Acts of the Apostles 17
83	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:17
83	NULL	metadata	Caroline T. Schroeder
83	NULL	version_date	16 April 2015
83	NULL	version_n	1.0.1
84	NULL	book	Acts of the Apostles
84	NULL	chapter	18
84	NULL	cid	44N 18
84	NULL	cname	Acts of the Apostles 18
84	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:18
84	NULL	metadata	Caroline T. Schroeder
84	NULL	version_date	16 April 2015
84	NULL	version_n	1.0.1
85	NULL	book	Acts of the Apostles
85	NULL	chapter	19
85	NULL	cid	44N 19
85	NULL	cname	Acts of the Apostles 19
85	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:19
85	NULL	metadata	Caroline T. Schroeder
85	NULL	version_date	16 April 2015
85	NULL	version_n	1.0.1
86	NULL	book	Acts of the Apostles
86	NULL	chapter	2
86	NULL	cid	44N 2
86	NULL	cname	Acts of the Apostles 2
86	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:2
86	NULL	metadata	Caroline T. Schroeder
86	NULL	version_date	16 April 2015
86	NULL	version_n	1.0.1
87	NULL	book	Acts of the Apostles
87	NULL	chapter	20
87	NULL	cid	44N 20
87	NULL	cname	Acts of the Apostles 20
87	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:20
87	NULL	metadata	Caroline T. Schroeder
87	NULL	version_date	16 April 2015
87	NULL	version_n	1.0.1
88	NULL	book	Acts of the Apostles
88	NULL	chapter	21
88	NULL	cid	44N 21
88	NULL	cname	Acts of the Apostles 21
